,latitude,longitude
56p119543,53.055229,-2.995979
56p119545,51.513999,-0.159607
56p119546,51.384528,0.1106
56p119550,51.508324,-0.153784
56p119556,51.590528,-0.147811
56p119559,51.511964,0.020847
56p119562,55.93931,-3.214835
56p119563,51.601866,-0.117155
56p119565,51.472993,-0.183188
56p119567,51.434158,-0.162677
56p119568,51.566485,-0.236082
56p119569,51.5172,-0.167002
56p119571,51.523902,-0.157983
56p119572,51.533974,-0.178757
56p119573,51.519694,-0.175771
56p119575,51.512599,-0.156349
56p119581,51.511512,0.006399
56p119583,51.514773,-0.159029
56p119591,51.113628,-0.175973
56p119592,51.512599,-0.156349
56p119593,51.515293,-0.150951
56p119596,51.502893,-0.251123
56p119600,51.512544,-0.155141
56p119604,51.50859,-0.15298
56p119605,51.462229,-0.176767
56p119606,51.550216,-0.050155
56p119607,51.497172,-0.184177
56p119608,51.525091,-0.185801
56p119613,51.558203,-0.163378
56p119614,51.508775,-0.150466
56p119617,51.508227,-0.238722
56p119628,51.508016,-0.232433
56p119631,52.77091,-1.22865
56p119636,51.504185,-0.37541
56p119637,51.512544,-0.155141
56p119638,51.496938,-0.147347
56p119642,51.519982,-0.159784
56p119645,51.512682,-0.157488
56p119647,51.512152,-0.147346
56p119648,51.436446,-0.169247
56p119656,51.512682,-0.157488
56p119658,51.488388,-0.205378
56p119661,51.440399,-0.966075
56p119662,51.413902,-0.130526
56p119664,51.404853,-0.082559
56p119666,51.517948,-0.218457
56p119671,51.510496,-0.152961
56p119672,51.517154,-0.121501
56p119674,51.516613,-0.162284
56p119676,51.463356,0.122744
56p119679,51.50783,-0.152694
56p119686,51.519521,-0.152052
56p119687,51.527664,0.036606
56p119689,51.561092,-0.274196
56p119693,51.51298,-0.155397
56p119696,51.513295,-0.154275
56p119703,51.471641,-0.188253
56p119707,51.516554,-0.158496
56p119708,51.547877,0.065477
56p119710,51.513157,-0.15637
56p119711,51.518029,-0.164807
56p119713,51.513295,-0.154275
56p119714,51.522643,-0.144887
56p119716,51.593153,-0.243412
56p119717,51.400718,-0.082096
56p119723,51.521449,-0.091198
56p119725,51.487575,-0.150733
56p119726,53.705208,-1.639113
56p119728,51.513157,-0.15637
56p119730,51.491514,-0.133705
56p119732,51.501569,-0.161693
56p119733,51.537258,-0.387145
56p119736,51.513999,-0.159607
56p119739,51.60699,-0.07674
56p119741,51.48827,-0.310027
56p119743,51.490141,-0.164083
